restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,is_open
Tiamo - Conrad Bengaluru,Fine Dining,4.2,139,2500.0,No,Yes,"Italian, Mediterranean",Indiranagar,Ulsoor,Yes
Tibbs Frankie,Quick Bites,2.9,17,200.0,No,No,"Street Food, Rolls",Whitefield,Whitefield,Yes
Tibetan Kitchen,Quick Bites,4.3,245,600.0,Yes,No,"Tibetan, Chinese, Continental, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
Tibetan Mother's Kitchen,Casual Dining,4.0,957,500.0,Yes,No,"Tibetan, Chinese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Yes
Tiffanys,Casual Dining,2.9,31,1000.0,No,No,"Continental, Italian, Chinese",Brigade Road,Shanti Nagar,Yes
Tiffin Box,"Takeaway, Delivery",2.8,40,200.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM,Yes
Tiffin Inn's,Quick Bites,3.7,24,250.0,Yes,No,South Indian,Marathahalli,Marathahalli,Yes
Tiffin Room - Miraya Hotel & Residences,Fine Dining,3.7,138,2000.0,No,Yes,"North Indian, South Indian, Asian",Whitefield,Whitefield,Yes
Tiffinwala,"Takeaway, Delivery",2.8,40,500.0,Yes,No,"North Indian, Chinese",Indiranagar,Indiranagar,Yes
Tiffun,Quick Bites,3.9,83,300.0,Yes,No,North Indian,Indiranagar,CV Raman Nagar,Yes
Tiger Trail - Ramada Hotel,"Casual Dining, Bar",4.0,188,1300.0,Yes,Yes,"North Indian, Lucknowi",Brigade Road,Shivajinagar,Yes
Tiger Trail - Royal Orchid Hotel,Fine Dining,4.1,303,2000.0,No,Yes,North Indian,Indiranagar,Old Airport Road,Yes
Tijouri,Fine Dining,4.0,70,2800.0,No,Yes,"North Indian, Mughlai",Brigade Road,Race Course Road,Yes
Tikka Kebab,Quick Bites,3.7,69,250.0,Yes,No,"Kebab, North Indian, Chinese",Electronic City,Electronic City,Yes
Till The Last Bite,Quick Bites,3.4,7,300.0,No,No,"North Indian, Chinese",Electronic City,Electronic City,Yes
Tilt Gastro Lounge,"Lounge, Casual Dining",4.1,1235,1500.0,No,Yes,"Continental, American, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
Tim Cafe,Cafe,3.6,39,250.0,Yes,No,"Cafe, Sandwich, Beverages",Brookefield,Marathahalli,Yes
Tim Tai,Casual Dining,4.4,3667,1400.0,Yes,Yes,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
Time Traveller - Sai Vishram,Casual Dining,4.2,882,1100.0,Yes,No,"Continental, North Indian, South Indian, Chinese",Electronic City,Electronic City,Yes
Timepass Dinner,Casual Dining,3.8,286,600.0,Yes,No,North Indian,Banashankari,Basavanagudi,Yes
Tintin Da Dhaba,Casual Dining,3.4,7,500.0,No,No,North Indian,Marathahalli,Marathahalli,Yes
Tippler,Pub,4.2,2901,1300.0,No,Yes,"Russian, Continental, North Indian",Indiranagar,Indiranagar,Yes
Tipsy Bull - The Bar Exchange,"Bar, Casual Dining",4.4,2182,1400.0,Yes,Yes,"North Indian, Chinese, Continental, Mexican",Bellandur,Bellandur,Yes
Tisano Cafe,Cafe,3.8,54,500.0,Yes,No,"Cafe, Fast Food, Chinese, Continental",Bannerghatta Road,Bannerghatta Road,Yes
Tiwari's,Quick Bites,3.8,69,200.0,Yes,No,"North Indian, Street Food",Jayanagar,Jayanagar,Yes
Tiwari's Ghee Paratha and Chats,Quick Bites,3.2,6,200.0,Yes,No,"North Indian, Street Food",Bannerghatta Road,JP Nagar,Yes
TLP Cafe,Cafe,3.9,250,400.0,Yes,No,"Cafe, Italian",Malleshwaram,Malleshwaram,Yes
Toast & Tonic,Casual Dining,4.6,1082,1500.0,No,Yes,"European, Asian",Brigade Road,Richmond Road,Yes
Toast And Salad,Quick Bites,3.5,25,300.0,Yes,No,Healthy Food,New BEL Road,New BEL Road,Yes
Today Coffee,Quick Bites,2.8,40,150.0,Yes,No,South Indian,Electronic City,Electronic City,Yes
Toit,Microbrewery,4.7,14956,1500.0,No,No,"Italian, American, Pizza",Indiranagar,Indiranagar,Yes
TOKI Taco House,Quick Bites,3.6,72,200.0,Yes,No,Mexican,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Yes
Tomago Roast,Quick Bites,3.5,12,400.0,Yes,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",BTM,Yes
Tomba Kitchens,Quick Bites,2.8,40,300.0,No,No,North Eastern,Koramangala 4th Block,Ejipura,Yes
Tongue Twisters,Quick Bites,3.5,283,350.0,Yes,No,"Bengali, North Indian, Oriya",Bannerghatta Road,BTM,Yes
Top Foam Parantha Roll & Juice Centre,Quick Bites,3.4,13,300.0,No,No,"North Indian, Chinese, Fast Food, Rolls",Koramangala 7th Block,BTM,Yes
Toping Twist,Quick Bites,2.8,40,200.0,No,No,Chinese,HSR,HSR,Yes
